ID,postTime,nLike,prediction,probability
7141215058,20190829-175729,216,candle, 21.781212091445923
9984403100,20191107-200546,1,swimming_trunks, 16.241323947906494
4106294153,20191108-215205,4,swimming_trunks, 16.86715930700302
200254373,20191109-185505,12,notebook, 9.306629747152328
219146308,20191110-004012,2,monitor, 22.13953584432602
5459467973,20191108-191311,76,castle, 72.02385663986206
2958584689,20190201-140941,1125,syringe, 5.353352800011635
25914704,20191108-094450,5,monastery, 19.327464699745178
2368293245,20191109-162620,4,comic_book, 69.07244324684143
23786843549,20191106-181236,4,seashore, 24.074383080005646
8890941978,20191108-130123,4,neck_brace, 31.73649311065674
4463794840,20191110-105637,1,web_site, 80.82036972045898
5888638638,20191108-215036,1,beer_bottle, 89.26722407341003
215523579,20191108-120756,3,book_jacket, 67.25327968597412
3079133,20191110-123217,1,street_sign, 27.785593271255493
185293566,20191110-151214,2,pajama, 70.19692659378052
7921561015,20191108-121509,1,envelope, 64.81709480285645
7382684959,20191108-222254,2,eggnog, 64.62815999984741
1324072512,20191109-130249,2,web_site, 21.49159461259842
1141389668,20191109-030012,1,television, 8.353497833013535
8518328709,20191107-145539,138,crutch, 70.17836570739746
3585842671,20191107-112116,1,stage, 47.3604291677475
10001067330,20191105-025237,11,volleyball, 99.91002082824707
2202552477,20191108-115224,8,stage, 14.777383208274841
547857025,20191108-215257,1,microphone, 22.30217009782791
5970065815,20181002-004510,209,cockroach, 34.32199954986572
176282077,20191108-134708,2,packet, 67.67738461494446
7522116665,20191107-084539,1,mosque, 30.367159843444824
23594408112,20191110-184434,4,wing, 55.912816524505615
8954390824,20191110-004150,1,palace, 95.89757919311523
10356731574,20191110-122257,1,stage, 99.78553652763367
461529871,20191109-014958,3,wig, 16.065558791160583
20094895444,20191110-223704,3,assault_rifle, 43.691304326057434
7657166901,20191110-175856,3,Labrador_retriever, 72.3993182182312
5326783578,20191109-200025,1,jersey, 12.987533211708069
7238267130,20191107-095821,14,tray, 50.744980573654175
16250585507,20191110-135509,1,hook, 16.770510375499725
1498488637,20191107-093354,9,oscilloscope, 43.47310960292816
633270373,20191110-161023,4,triumphal_arch, 99.36984777450562
6223308047,20191107-214722,6,umbrella, 9.278707951307297
1535972720,20191110-143954,2,balloon, 65.98678231239319
9950237712,20191107-195125,2,book_jacket, 21.046529710292816
2008100427,20191110-225858,3,groom, 52.63491868972778
510905243,20191108-095741,1,military_uniform, 9.014604985713959
4221902985,20191111-002403,7,miniskirt, 66.07590317726135
2223445606,20191109-213518,3,Australian_terrier, 58.87545943260193
7051898233,20191110-183841,39,book_jacket, 90.92251658439636
9529217,20191110-174733,2,water_jug, 32.7593594789505
1581805277,20191108-105426,1,sunglasses, 60.94735860824585
6016222816,20191109-143649,14,jackfruit, 14.46036845445633
1612930265,20191110-170520,161,web_site, 48.273736238479614
4981540090,20191110-122116,6,thunder_snake, 3.483978286385536
584437631,20191107-214651,33,plastic_bag, 23.968906700611115
3490487729,20191109-123811,60,punching_bag, 8.026201277971268
7549276030,20191108-221337,5,Band_Aid, 67.2045648097992
4129987562,20191107-213709,1,book_jacket, 16.391274333000183
16946448886,20191109-121910,1,swimming_trunks, 16.302120685577393
11066324493,20191110-105605,2,dining_table, 97.92352318763733
4179387610,20191109-161555,3,monastery, 29.80014681816101
495839841,20191110-213132,3,medicine_chest, 56.912797689437866
13541374731,20191107-101354,1,paintbrush, 9.39200222492218
