,ID,hashtag,prediction
602,1357373211.0,STARBUCKS,wig
604,1445342376.0,STARBUCKS,packet
605,1447982864.0,STARBUCKS,ice_cream
611,17226149678.0,STARBUCKS,Christmas_stocking
615,20714427737.0,STARBUCKS,web_site
616,22715530491.0,STARBUCKS,Christmas_stocking
620,3116884438.0,STARBUCKS,packet
621,3300997665.0,STARBUCKS,bucket
623,4974711449.0,STARBUCKS,packet
628,6887698596.0,STARBUCKS,cup
630,7921507330.0,STARBUCKS,ice_cream
631,8331054902.0,STARBUCKS,coffee_mug
632,9169682.0,STARBUCKS,coffee_mug
635,10593156.0,STARBUCKS,coffee_mug
640,1398027725.0,STARBUCKS,coffee_mug
641,14528937358.0,STARBUCKS,espresso
644,17040730585.0,STARBUCKS,wig
649,2095522715.0,STARBUCKS,cup
660,3903036397.0,STARBUCKS,Christmas_stocking
672,911341118.0,STARBUCKS,eggnog
673,11097535530.0,STARBUCKS,cup
675,1134422056.0,STARBUCKS,bucket
679,1611221325.0,STARBUCKS,ice_cream
687,2108659583.0,STARBUCKS,web_site
691,308080513.0,STARBUCKS,cup
693,3430764290.0,STARBUCKS,bucket
694,4094041679.0,STARBUCKS,cup
696,4571618505.0,STARBUCKS,coffee_mug
704,614412100.0,STARBUCKS,Christmas_stocking
709,737101346.0,STARBUCKS,Christmas_stocking
715,179405423.0,STARBUCKS,espresso
719,1974138033.0,STARBUCKS,Christmas_stocking
722,2243077083.0,STARBUCKS,web_site
724,23235191441.0,STARBUCKS,bucket
729,24767153146.0,STARBUCKS,bucket
730,256547787.0,STARBUCKS,cup
734,3438174604.0,STARBUCKS,bucket
736,3591730204.0,STARBUCKS,coffee_mug
761,2030297149.0,STARBUCKS,Christmas_stocking
762,205609801.0,STARBUCKS,web_site
765,22493349777.0,STARBUCKS,ice_cream
767,23656249167.0,STARBUCKS,web_site
778,5943518423.0,STARBUCKS,ice_cream
784,8226540271.0,STARBUCKS,coffee_mug
785,875952742.0,STARBUCKS,bucket
786,9459857463.0,STARBUCKS,ice_cream
789,1513994314.0,STARBUCKS,web_site
794,2040550613.0,STARBUCKS,eggnog
799,23945103920.0,STARBUCKS,ice_cream
801,2932399858.0,STARBUCKS,ice_cream
